Date,District,PM2.5,PM10,NO2,SO2
04-01-17,Kolkata,164.5,294.31,74.66,10.56
05-01-17,Kolkata,182,253.6,71.35,8.06
06-01-17,Kolkata,169,256.38,71.87,9.75
07-01-17,Kolkata,156,222.22,60.55,7.76
08-01-17,Kolkata,161,234.15,64.53,9.09
09-01-17,Kolkata,149,228.95,68.04,7.01
10-01-17,Kolkata,125,221.37,62.06,6.19
11-01-17,Kolkata,137,229.14,69.61,10.46
12-01-17,Kolkata,123.5,192.91,57.88,6.18
13-01-17,Kolkata,136,193.35,63.01,7.61
14-01-17,Kolkata,127,186.01,56.59,6.53
15-01-17,Kolkata,101,188.43,60.64,6.82
16-01-17,Kolkata,122,213.06,66.53,6.77
17-01-17,Kolkata,116,214.33,61.53,5.88
18-01-17,Kolkata,124,254.47,63.82,6.98
19-01-17,Kolkata,155,293.17,71.23,8.13
20-01-17,Kolkata,147,262.4,74.69,8.09
21-01-17,Kolkata,130,230.71,67.56,7.76
22-01-17,Kolkata,136,218.27,58.52,8.66
23-01-17,Kolkata,143,264.5,67.67,8.96
24-01-17,Kolkata,137,235.5,61.67,8.96
25-01-17,Kolkata,114.5,248.17,72.94,8.71
26-01-17,Kolkata,121,215.43,71.44,7.71
27-01-17,Kolkata,141,230.82,64.89,8.9
28-01-17,Kolkata,102,200.12,63.33,7.74
29-01-17,Kolkata,134,261.1,72.09,8.37
30-01-17,Kolkata,127,205.82,62.67,7.84
31-01-17,Kolkata,105,163.01,59.61,5.44
01-02-17,Kolkata,137,216.86,67.2,7.64
02-02-17,Kolkata,133.5,222.14,64.22,8.38
03-02-17,Kolkata,147,228.06,63.32,8.31
04-02-17,Kolkata,126,211.13,61.64,5.82
05-02-17,Kolkata,116,200.37,60.84,6.63
06-02-17,Kolkata,129,219.5,63.83,7.57
07-02-17,Kolkata,103,198.85,60.8,5.88
08-02-17,Kolkata,133,202.1,61.51,6.51
09-02-17,Kolkata,138,276.71,78.06,7.55
10-02-17,Kolkata,142,237.91,73.22,6.43
11-02-17,Kolkata,120,200.23,63.12,5.92
12-02-17,Kolkata,118,201.14,59.57,6.97
13-02-17,Kolkata,112,184.94,54.79,7.5
14-02-17,Kolkata,97,198.62,50.08,5.67
15-02-17,Kolkata,148,255.93,67.58,10.32
16-02-17,Kolkata,124.5,222.32,57.13,8.28
17-02-17,Kolkata,108,183.12,55.49,8.07
18-02-17,Kolkata,142,250.94,59.75,10.99
19-02-17,Kolkata,134,229.93,55.43,12.75
20-02-17,Kolkata,125,207.62,54.78,18.65
21-02-17,Kolkata,129,187.37,45.56,16.41
22-02-17,Kolkata,81,161.47,45.55,6.92
23-02-17,Kolkata,89,141.7,40.5,10.52
24-02-17,Kolkata,92,141.27,42.31,6.1
25-02-17,Kolkata,120,178.81,51.11,9.51
26-02-17,Kolkata,127,187.96,49.57,10.01
27-02-17,Kolkata,145,222.32,60.48,11.13
28-02-17,Kolkata,87,173.26,49.27,7.88
01-03-17,Kolkata,119,180.57,50.81,11.66
02-03-17,Kolkata,141,194.76,49.69,7.19
03-03-17,Kolkata,83,135.92,42.34,10.11
04-03-17,Kolkata,77,129.03,40.88,6.29
05-03-17,Kolkata,71,126.52,40.53,8.35
06-03-17,Kolkata,81,118,38.36,5.6
07-03-17,Kolkata,61,97.32,35.2,4.65
08-03-17,Kolkata,93,133.03,43.2,7.79
09-03-17,Kolkata,87,147.82,47.03,6.89
10-03-17,Kolkata,72,98.58,34.04,3.64
11-03-17,Kolkata,44,66.88,27.14,3.12
12-03-17,Kolkata,57,82.97,29.93,3.45
13-03-17,Kolkata,64,108.16,31.02,3.83
14-03-17,Kolkata,42,86.66,30.7,3.9
15-03-17,Kolkata,77,126.74,34.6,3.67
16-03-17,Kolkata,85,173.69,40.62,6.52
17-03-17,Kolkata,93,156.74,44.78,8.21
18-03-17,Kolkata,116,177.54,49.19,8.21
19-03-17,Kolkata,73,127.78,41.03,6.9
20-03-17,Kolkata,49,100.53,36.38,6.14
21-03-17,Kolkata,65,124.33,35.82,5.73
22-03-17,Kolkata,58,108.45,34.73,4.24
23-03-17,Kolkata,67,119.09,37.88,6.21
24-03-17,Kolkata,72,120.58,38.64,6.74
25-03-17,Kolkata,50,110.31,35.43,5.93
26-03-17,Kolkata,45,108.11,33.16,5.49
27-03-17,Kolkata,54,110,33.2,5.21
28-03-17,Kolkata,44,89.84,27.23,4.32
29-03-17,Kolkata,50,109.86,32.85,5.5
30-03-17,Kolkata,55,93.81,31.08,4.21
